{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0501276143085094, 'speedup_best': 1.0495322909116012, 'xsmm_local_avg': 29.18135416666666, 'xsmm_local_best': 28.971, 'xsmm_upstream_avg': 30.644145833333344, 'xsmm_upstream_best': 30.406}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.2539686395245624, 'speedup_best': 1.2600504049524088, 'xsmm_local_avg': 41.169124999999994, 'xsmm_local_best': 40.869, 'xsmm_upstream_avg': 51.624791666666646, 'xsmm_upstream_best': 51.497}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.1919920660454777, 'speedup_best': 1.190707484812026, 'xsmm_local_avg': 67.47370833333335, 'xsmm_local_best': 67.32299999999998, 'xsmm_upstream_avg': 80.42812499999998, 'xsmm_upstream_best': 80.162}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0885809011310827, 'speedup_best': 1.081351240884287, 'xsmm_local_avg': 140.11649999999997, 'xsmm_local_best': 139.457, 'xsmm_upstream_avg': 152.52814583333333, 'xsmm_upstream_best': 150.802}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.2218250577509011, 'speedup_best': 1.2160582987280617, 'xsmm_local_avg': 322.3254166666666, 'xsmm_local_best': 321.242, 'xsmm_upstream_avg': 393.8252708333332, 'xsmm_upstream_best': 390.649}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.1452799244062655, 'speedup_best': 1.1274343656211243, 'xsmm_local_avg': 747.32825, 'xsmm_local_best': 739.361, 'xsmm_upstream_avg': 855.9000416666667, 'xsmm_upstream_best': 833.581}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0379404850432994, 'speedup_best': 1.0317080249600927, 'xsmm_local_avg': 27.79133333333333, 'xsmm_local_best': 27.564, 'xsmm_upstream_avg': 28.84575000000001, 'xsmm_upstream_best': 28.438}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.232307742983325, 'speedup_best': 1.2241805586154562, 'xsmm_local_avg': 41.11114583333333, 'xsmm_local_best': 40.851, 'xsmm_upstream_avg': 50.66158333333332, 'xsmm_upstream_best': 50.009}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.2292304578875786, 'speedup_best': 1.2248989140033153, 'xsmm_local_avg': 64.75252083333335, 'xsmm_local_best': 64.549, 'xsmm_upstream_avg': 79.59577083333332, 'xsmm_upstream_best': 79.066}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0878805605822808, 'speedup_best': 1.084493925110727, 'xsmm_local_avg': 141.06314583333332, 'xsmm_local_best': 140.661, 'xsmm_upstream_avg': 153.45985416666667, 'xsmm_upstream_best': 152.546}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.2090521681584934, 'speedup_best': 1.2071068584077609, 'xsmm_local_avg': 326.1124791666667, 'xsmm_local_best': 324.813, 'xsmm_upstream_avg': 394.28699999999986, 'xsmm_upstream_best': 392.084}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.2100620248547287, 'speedup_best': 1.1805453786322397, 'xsmm_local_avg': 727.5242083333333, 'xsmm_local_best': 723.3140000000001, 'xsmm_upstream_avg': 880.3494166666668, 'xsmm_upstream_best': 853.905}
